"frb_name","utc","telescope","rop_raj","rop_decj","rop_gl","rop_gb","rmp_dm","rmp_width","rmp_snr"
"FRB20200125A","2020/01/25 12:15:19.600","GBT","14:36:31.580","+07:42:06.84","359.8","58.4","179.47&plusmn0.05","3.7","8.1"
"FRB20190614D","2019/06/14 01:13:02.010","VLA","04:20:18.13","+73:42:24.3","136.3","16.5","959.2&plusmn5","5","8.27"
"FRB191108","2019/11/08 19:48:50.471","Apertif","01:33:47","+31:51:30","133.3","-30.1","588.1&plusmn0.1","0.34","103"
"FRB190907.J08+46","2019/09/07 17:02:43.311","CHIME/FRB","08:09","+46:16","173.4","32.3","310.9&plusmn0.4","3","0"
"FRB190711","2019/07/11 01:53:40.861","ASKAP","21:57:40.68","-80:21:28.8","310.9078","-33.9023","593.1&plusmn0.4","6.5","23.8"
"FRB190611","2019/06/11 05:45:43.299","ASKAP","21:22:58.91","-79:23:51.3","312.9352","-33.2818","321.4&plusmn0.2","2","9.3"
"FRB190608","2019/06/08 22:48:12.883","ASKAP","22:16:04.75","-07:53:53.6","53.2088","-48.5296","338.7&plusmn0.5","6","16.1"
"FRB190604.J1435+53","2019/06/06 05:34:23.574","CHIME/FRB","14:35","+53:17","93.8","57.6","552.7&plusmn0.2","1.2","0"
"FRB190523","2019/05/23 06:05:55.815","DSA-10","13:48:15.6","+72:28:11","117.03","44","760.8&plusmn0.6","0.42","11.5"
"FRB190417.J1939+59","2019/04/17 13:55:44.814","CHIME/FRB","19:39","+59:24","91.5","17.4","1378.1&plusmn0.2","3.3","0"
"FRB190303.J1353+48","2019/07/02 03:14:39.762","CHIME/FRB","13:53","+48:15","97.5","65.7","222.4&plusmn0.2","4.5","0"
"FRB190222.J2052+69","2019/02/22 18:46:01.367","CHIME/FRB","20:52","69:50","104.9","15.9","460.6&plusmn0.1","2.97","0"
"FRB190212.J18+81","2019/02/12 16:17:19.174","CHIME/FRB","18:24","+81:26","113.3","27.8","301.7&plusmn0.3","4.1","0"
"FRB190212.J02+20","2019/02/12 00:42:17.295","CHIME/FRB","02:14","+20:04","148.1","-38.7","651.1&plusmn0.4","10","0"
"FRB190209.J0937+77","2019/02/09 08:20:20.977","CHIME/FRB","09:37","77:40","134.2","34.8","424.6&plusmn0.6","3.7","0"
"FRB190208.J1855+46","2019/02/08 17:41:42.300","CHIME/FRB","18:55","+46:58","76.8","18.9","579.9&plusmn0.2","0.91","0"
"FRB190117.J2207+17","2019/01/17 22:18:26.466","CHIME/FRB","22:07","+17:23","76.4","-30.3","393.3&plusmn0.1","1.44","0"
"FRB190116.J1249+27","2019/01/16 13:07:33.833","CHIME/FRB","12:49","27:09","210.5","89.5","444&plusmn0.6","4","0"
"FRB190102","2019/01/02 05:38:43.491","ASKAP","21:29:39.76","-79:28:32.5","312.6","-33.49","363.6&plusmn0.3","1.7","14"
"FRB181228","2018/12/28 13:48:50.100","UTMOST","06:09:23.64","-45:58:02.4","253.3915","-26.0633","354.2&plusmn0.9","1.24","12"
"FRB181128.J0456+63","2018/11/28 08:27:41.740","CHIME/FRB","04:56","63:23","146.6","12.4","450.2&plusmn0.3","2.43","0"
"FRB181123","2018/11/23 17:49:09.127","FAST","05:06:06.76","18:09:35.7","184.06","-13.47","1812&plusmn2","1.05","0"
"FRB181119.J12+65","2018/11/19 16:49:03.191","CHIME/FRB","12:42","65:08","124.5","52","364.2&plusmn1","6.3","0"
"FRB181112","2018/11/12 17:31:15.483","ASKAP","21:49:23.630","-52:58:15.39","342.6","-47.7","589.27&plusmn0.03","2.1","19.3"
"FRB181030.J1054+73","2018/10/30 04:13:13.025","CHIME/FRB","10:54","73:44","133.4","40.9","103.5&plusmn0.7","0.59","0"
"FRB181017.J1705+68","2018/10/17 23:26:11.860","CHIME/FRB","17:05","68:17","99.2","34.8","1281.9&plusmn0.4","13.4","0"
"FRB181017","2018/10/17 10:24:37.400","UTMOST","22:05:54.82","-08:50:34.22","50.5","-47","239.97&plusmn0.03","0.32","66"
"FRB181016","2018/10/16 04:16:56.300","UTMOST","15:46:20.84","-25:24:32.6","345.51","22.67","1982.8&plusmn2.8","8.6","17"
"FRB180924","2018/09/24 16:23:12.626","ASKAP","21:44:25.255","-40:54:00.1","0.742467","-49.414787","361.42&plusmn0.06","1.3","194"
"FRB180916.J0158+65","2018/12/26 03:43:30.107","CHIME/FRB","01:58","65:44","129.7","3.7","348.8&plusmn0.2","0.87","0"
"FRB180908.J1232+74","2018/09/08 21:13:01.257","CHIME/FRB","12:32","+74:12","124.7","42.9","195.7&plusmn0.9","1.91","0"
"FRB180817.J1533+42","2018/08/17 01:49:20.202","CHIME/FRB","15:33","+42:12","68","54","1006.84&plusmn0.002","0.37","69.9"
"FRB180814.J1554+74","2018/08/14 14:20:14.440","CHIME/FRB","15:54","+74:01","108","37","238.32&plusmn0.01","0.18","29.7"
"FRB180814.J0422+73","2018/08/14 14:49:48.022","CHIME/FRB","04:22","+73:44","136","16","189.38&plusmn0.09","2.6","24"
