"frb_name","utc","telescope","rop_raj","rop_decj","rop_gl","rop_gb","rmp_dm","rmp_width","rmp_snr"
"FRB150418","2015/04/18 04:29:06.657","parkes","07:16:35","-19:00:40","232.665","-3.2348","776.2&plusmn0.5","0.8","39"
"FRB150215","2015/02/15 20:41:41.714","parkes","18:17:27","-04:54:15","24.6628","5.28092","1105.6&plusmn0.8","2.88","19"
"FRB141113","2014/11/13 07:42:55.220","arecibo","06:13:00.1","18:47:11.2","191.9","0.36","400.3","2","8.4"
"FRB140514","2014/05/14 17:14:11.060","parkes","22:34:06","-12:18:46","50.8413","-54.612","562.7&plusmn0.6","2.8","16"
"FRB131104","2013/11/04 18:04:11.200","parkes","06:44:10","-51:16:40","260.55","-21.9253","779&plusmn1","2.08","30"
"FRB130729","2013/07/29 09:01:51.190","parkes","13:41:21","-05:59:43","324.788","54.7446","861&plusmn2","15.61","14"
"FRB130628","2013/06/28 03:58:00.178","parkes","09:03:02","03:26:16","225.955","30.6556","469.88&plusmn0.01","0.64","29"
"FRB130626","2013/06/26 14:55:59.771","parkes","16:27:06","-07:27:48","7.45003","27.4203","952.4&plusmn0.1","1.98","21"
"FRB121102","2012/11/02 06:35:53.244","arecibo","05:32:09","33:05:13","174.95","-0.225138","557&plusmn2","3","14"
"FRB121002","2012/10/02 13:09:18.436","parkes","18:14:47","-85:11:53","308.22","-26.2647","1629.18&plusmn0.02","5.44","16"
"FRB120127","2012/01/27 08:11:21.725","parkes","23:15:06","-18:25:38","49.2871","-66.2037","553.3&plusmn0.3","1.1","11"
"FRB110703","2011/07/03 18:59:40.607","parkes","23:30:51","-02:52:24","80.9978","-59.0191","1103.6&plusmn0.7","4.3","16"
"FRB110626","2011/06/26 21:33:17.477","parkes","21:03:43","-44:44:19","355.862","-41.7522","723&plusmn0.3","1.4","11"
"FRB110523","2011/05/23 15:06:19.700","GBT","21:45:12","-00:09:37","56.12","-37.82","623.3&plusmn0.06","1.73","42"
"FRB110220","2011/02/20 01:55:48.096","parkes","22:34:38","-12:23:45","50.829","-54.7663","944.38&plusmn0.05","5.6","49"
"FRB110214","2011/02/14 07:14:10.353","parkes","01:21:17","-49:47:11","290.7","-66.6","168.9&plusmn0.5","1.9","13"
"FRB090625","2009/06/25 21:53:51.379","parkes","03:07:47","-29:55:36","226.444","-60.0303","899.55&plusmn0.01","1.92","30"
"FRB010724","2001/07/24 19:50:01.690","parkes","01:18:06","-75:12:18","300.653","-41.8051","375","5","23"
"FRB010621","2001/06/21 13:02:11.299","parkes","18:52:05","-08:29:35","25.434","-4.00381","745&plusmn10","7","16.3"
"FRB010125","2001/01/25 00:29:15.790","parkes","19:06:53","-40:37:14","356.641","-20.0206","790&plusmn3","9.4","17"
